domain,amount,history,hospital_network,damage_cost,policy_duration,income,loan_amount,fraud
Vehicle,214715,2,0,24521,6.51,52127,316854,0
Financial,386584,3,1,17331,3.65,90097,404791,0
Life,325906,5,0,91836,6.24,84116,394597,0
Financial,319867,2,1,3442,6.32,29085,182341,1
Life,476232,4,0,97805,5.5,56826,122071,0
Life,83582,4,1,3785,0.09,64548,378413,1
Financial,163969,5,0,41794,6.95,53584,270487,1
Financial,430664,0,1,56833,7.03,41143,401545,1
Health,375017,4,0,40620,3.11,70306,259859,1
Life,427011,4,0,14628,4.01,35040,67063,0
Financial,397821,1,1,96289,9.77,99517,428788,0
Life,491963,4,0,8531,2.17,95301,333359,0
Vehicle,33647,2,1,41132,5.86,63293,389129,0
Financial,375822,5,0,36041,0.27,85171,254725,0
Vehicle,237747,2,0,92192,2.93,30855,165653,1
Financial,484074,4,1,51767,9.77,73412,143317,0
Financial,448532,3,0,90752,6.52,63870,283467,0
Health,254938,5,0,74888,3.37,68861,406563,1
Financial,43604,2,1,14645,5.5,65323,343364,1
Life,494740,2,0,99277,1.77,36205,192770,0
Life,225535,2,0,76407,3.42,69600,57230,0
Vehicle,341773,5,1,22921,1.86,75488,417496,1
Vehicle,440635,0,0,49686,0.8,72849,99617,0
Vehicle,384364,1,0,53971,7.02,76683,493343,1
Life,290250,2,1,39279,4.58,61218,469187,0
Vehicle,302806,3,1,75499,6.77,22132,425769,1
Life,485878,3,0,49298,2.36,33483,158913,0
Financial,64591,0,0,67813,1.7,45223,294610,1
Vehicle,59229,5,0,84308,0.53,37983,94443,1
Life,457426,1,0,4820,1.93,94642,240089,0
Life,104362,4,1,51813,1.09,67859,149971,0
Financial,377405,1,1,22418,0.1,25515,191178,1
Life,157843,1,1,8444,1.43,52645,187423,0
Vehicle,7116,4,0,45403,4.08,92345,164266,1
Financial,29174,1,1,8854,6.13,35802,169934,0
Life,347149,2,1,26091,1.29,25494,284625,0
Health,432103,0,0,18604,3.53,44531,220158,1
Health,160544,5,1,49988,0.57,99106,413012,0
Health,458255,3,1,8398,6.7,81211,99254,0
Health,30973,0,1,52271,2.38,38481,449880,0
Vehicle,291741,1,0,4420,8.67,28387,437303,0
Life,269712,5,0,79287,4.09,91916,292074,0
Financial,324621,4,0,83713,1.23,60934,430568,1
Financial,28000,3,0,30711,8.54,98147,212811,0
Vehicle,390831,5,0,4932,5.26,44018,174721,1
Financial,365620,3,1,20922,1.4,94159,302870,0
Vehicle,6930,4,1,91947,6.79,21797,241575,1
Health,80585,1,0,6761,8.45,33110,332729,0
Vehicle,324643,1,0,92134,6.77,96408,435452,1
Health,200591,1,1,10148,6.4,56998,331851,0
Health,52034,5,1,63664,8.13,49105,437032,0
Life,212236,1,1,38248,0.34,28055,319141,1
Life,199096,5,1,63490,9.83,64117,429147,0
Life,194008,4,0,89040,3.48,50337,428513,0
Life,355282,0,1,56523,6.41,49369,181692,0
Financial,413905,2,0,54850,4.29,49600,396620,1
Vehicle,43826,3,1,44325,8.87,54794,92953,0
Vehicle,401043,3,1,45735,1.95,67489,462568,0
Health,105572,3,0,65847,1.53,35311,400936,1
Health,131970,1,0,47863,4.71,67920,267309,1
Health,76150,3,0,89355,4.88,58445,225560,0
Vehicle,362383,5,0,67670,9.32,98846,283526,1
Life,176345,5,1,29398,1.95,20755,57824,0
Financial,55715,5,1,27286,1.34,68586,84078,0
Health,447258,1,1,66466,6.61,60780,419380,0
Health,330489,3,1,89713,5.97,85766,141236,0
Vehicle,257185,2,1,98271,1.42,63273,336019,1
Financial,270694,2,1,4608,1.54,32907,261875,1
Financial,461151,5,1,54183,6.95,99163,54921,0
Vehicle,272084,0,1,64473,6.79,75651,277202,1
Life,166407,0,1,9911,3.28,30610,392916,0
Vehicle,17489,0,0,95902,7.26,40170,259125,1
Health,202665,1,0,44381,8.55,75501,191331,1
Financial,432401,1,0,28649,1.72,22114,406252,1
Health,447856,1,0,88883,2.44,83251,475445,1
Financial,92397,0,1,38217,4.9,50768,285676,1
Vehicle,317370,0,0,15843,5.26,77857,413480,0
Vehicle,51706,1,0,10269,0.69,34008,292010,0
Vehicle,488371,1,0,37838,3.77,89462,189539,0
Life,230580,4,0,68415,5.64,62246,304032,0
Vehicle,178844,1,1,50518,3.66,32189,204212,1
Health,493481,5,0,45751,0.08,43236,495147,1
Life,99108,5,0,89306,5.08,72409,453103,0
Vehicle,294621,3,0,82415,6.05,54975,223618,1
Vehicle,181256,3,1,77385,2.81,24997,352461,1
Vehicle,461267,3,0,4094,3.86,21139,190469,0
Financial,467000,3,0,65658,5.54,60453,373479,1
Life,305518,0,1,55997,7.67,69563,429609,0
Vehicle,293585,1,0,4828,0.52,40520,259419,0
Life,431778,2,1,43441,1.43,51115,316761,0
Vehicle,85385,4,1,81544,1.15,77230,158540,1
Vehicle,439263,4,1,88850,5.31,56262,93597,1
Health,385614,3,1,15652,0.77,27597,394154,0
Financial,456519,2,1,40154,0.75,93492,414171,0
Life,26314,4,0,78551,1.14,52446,90406,0
Financial,403309,3,1,68404,5.01,36818,185769,1
Health,79538,4,1,49747,7.96,49647,473565,0
Life,442340,3,0,50201,6.56,70833,259844,0
Vehicle,88656,1,1,27164,2.14,46798,254482,0
Health,81847,3,1,30242,7.66,74304,350023,0
Health,358065,4,0,84970,6.95,37247,375628,1
Financial,298247,4,1,93844,9.46,57183,222773,0
Vehicle,391745,0,1,75090,2.87,31667,333288,1
Life,292090,1,0,6882,7.95,47205,498340,0
Life,247058,3,1,87648,1.21,43507,160117,0
Vehicle,392519,4,0,85311,9.52,35630,167889,1
Vehicle,117450,1,0,3953,5.86,50301,444765,0
Financial,98397,1,1,21103,8.62,42022,388318,1
Life,144812,1,0,16815,0.36,91608,345800,1
Health,351920,0,0,64618,2.01,34739,243372,1
Vehicle,120641,1,0,18115,9.35,96029,99005,0
Health,378032,4,0,1591,3.9,55236,233748,1
Life,358169,0,1,5166,9.08,26350,313373,0
Health,45506,3,1,35024,0.67,97512,487766,0
Life,176933,3,1,97627,9.34,84822,303946,0
Financial,41522,3,0,25121,1.83,92854,264523,0
Life,114595,0,0,66815,3.54,20160,167684,0
Health,176276,3,1,3900,2.54,86545,218107,0
Health,257110,1,1,43636,6.43,97444,164312,0
Health,162082,2,1,50492,1.31,37445,251207,0
Health,14494,1,1,75326,1.0,90442,433901,0
Vehicle,117234,5,0,94868,2.15,98364,405795,1
Vehicle,476359,3,0,92911,0.65,28799,495894,1
Health,404201,5,1,8257,2.02,42722,260820,0
Health,454920,4,0,87734,9.57,69803,128944,1
Health,284281,5,0,71433,8.91,60757,135085,1
Financial,223113,3,1,9554,2.72,78098,256400,0
Health,441825,1,1,66942,3.72,34515,436871,0
Health,233446,3,0,239,4.26,41241,303420,1
Life,85531,2,0,58874,1.07,23985,358388,0
Health,406469,4,0,3043,3.46,83271,170340,1
Health,392148,4,0,87819,9.07,75205,356512,1
Vehicle,485637,0,1,58795,6.99,68404,428396,1
Health,385793,3,1,56835,5.79,83757,336401,0
Health,323661,0,1,72658,0.53,91487,316124,0
Vehicle,28319,3,0,79357,5.6,87412,239392,1
Financial,473105,1,1,54298,3.93,91005,496283,1
Vehicle,196624,2,1,48419,3.88,43238,99956,0
Financial,242510,1,1,63313,6.66,81901,351178,0
Life,15103,5,0,5646,4.14,76624,105992,0
Financial,305336,1,0,29844,3.37,22200,473595,1
Financial,257207,4,1,57976,3.94,58066,412182,1
Health,352960,0,1,97680,6.46,30260,483002,0
Life,192619,3,1,61203,0.78,27570,201234,1
Health,186077,2,1,92328,2.11,46000,303189,0
Health,112045,1,1,86938,5.51,97729,388587,0
Vehicle,235519,5,0,70587,0.52,47134,209836,1
Financial,445942,2,1,29046,8.56,85928,126670,0
Life,367603,0,1,14281,6.19,54979,271840,0
Life,443026,2,0,82686,0.45,53219,344938,1
Health,431533,3,0,94317,7.26,48594,244664,1
Vehicle,396238,5,1,27257,4.28,66383,392369,1
Health,28929,5,1,54378,0.5,33316,139165,0
Health,94048,0,1,16205,3.28,79079,449120,0
Vehicle,340917,3,0,95277,5.64,51115,485648,1
Health,140550,1,0,61715,2.25,90996,103704,1
Health,34147,4,0,25221,7.75,61034,122732,0
Health,323608,0,0,21266,7.61,31463,430421,1
Vehicle,137664,4,1,62855,3.39,48784,363201,1
Financial,431454,5,1,73478,8.97,56049,447314,1
Health,11291,5,1,25378,0.9,59916,384832,0
Financial,294995,1,1,45469,5.02,54577,256761,0
Financial,339161,2,1,20038,4.5,41127,212991,1
Vehicle,282983,4,0,73443,2.36,35233,239520,1
Life,91463,3,1,51436,6.8,95469,310590,0
Life,472608,3,1,87421,4.93,35634,289704,0
Life,73217,3,0,86327,6.77,61267,183891,0
Health,408677,4,0,52467,7.39,37610,248940,1
Vehicle,218929,5,1,33432,0.46,37303,174322,1
Financial,22661,4,1,85370,1.88,58801,73016,0
Financial,128168,2,1,59414,4.86,26889,355787,1
Health,491873,2,1,25274,1.37,24829,408484,0
Financial,435226,4,1,44292,1.93,70502,342481,0
Financial,446781,4,1,56214,7.23,75376,249414,0
Financial,84888,2,1,86269,7.18,63236,86366,0
Vehicle,495548,3,0,63036,1.07,92670,106174,1
Vehicle,6930,5,1,8010,9.14,55251,81111,1
Vehicle,448150,3,0,19914,4.08,92933,173967,0
Life,207045,0,1,73109,1.38,85078,265573,0
Life,225991,1,0,30288,6.78,74576,490672,0
Financial,62690,2,1,56927,0.71,96280,296598,0
Vehicle,243700,1,0,90957,3.11,83230,339975,1
Financial,329061,4,0,37467,0.42,78913,135287,0
Financial,376443,2,0,4973,8.6,33882,122601,0
Financial,401831,1,0,64734,0.32,22897,177387,1
Life,391041,0,0,74680,4.69,32247,238688,0
Life,359384,4,0,35450,1.62,53362,409549,0
Life,425508,3,1,7895,8.58,66967,472147,0
Health,143870,0,1,22524,0.36,99350,266819,0
Vehicle,275722,3,0,35381,7.31,32713,391570,0
Life,70034,4,1,15550,8.6,82347,185904,0
Financial,101925,4,0,1730,2.73,25363,373555,1
Health,444321,1,0,88892,4.26,27441,429349,1
Vehicle,209869,4,1,66589,7.64,41471,116280,1
Health,22790,2,0,4039,5.73,44005,286335,0
Health,301458,0,0,94887,1.84,36352,112165,1
Health,258243,1,1,52847,9.31,25434,167080,0
Financial,165368,5,1,95128,0.51,35237,474958,1
Vehicle,345262,4,1,91419,7.34,94380,234800,1
Life,213018,0,1,3446,4.93,61467,486394,0
Financial,278250,5,0,38657,0.35,71415,69883,0
Health,164341,5,0,55110,9.89,90752,186017,1
Vehicle,239659,5,1,74871,6.54,29987,214423,1
Health,59569,0,0,99467,0.68,62201,242173,0
Health,60664,2,1,86663,7.01,65968,379301,0
Health,30704,5,0,34300,1.44,21051,394239,0
Vehicle,171029,0,0,99066,3.41,34749,71491,1
Health,202935,5,0,86282,1.14,26703,305474,1
Financial,395617,2,0,95799,4.58,87902,53184,0
Financial,477749,5,1,23621,5.05,36451,155211,0
Life,395670,5,1,5729,7.04,51188,175938,0
Health,137094,4,1,98970,6.46,85873,349459,0
Health,294600,2,0,23687,0.08,29295,397181,1
Life,121432,1,1,66597,6.92,66867,411996,0
Health,295342,2,1,65660,1.38,81001,493265,0
Financial,369782,3,0,86660,2.09,96865,454452,0
Financial,381311,5,1,32271,7.75,68778,481241,1
Life,334212,3,1,28530,1.04,40649,227766,0
Vehicle,427017,1,1,14345,6.93,70815,74100,0
Health,295078,1,1,73064,5.96,31521,457201,0
Vehicle,283306,2,1,12007,1.75,28049,196130,0
Life,115564,5,1,60903,2.37,22264,235046,0
Life,89450,5,0,44496,9.43,60981,239448,0
Life,86924,5,0,56293,2.35,29094,167315,0
Financial,272028,2,0,28179,4.28,40644,497923,1
Financial,394746,1,0,89398,8.95,74579,51434,0
Life,21501,4,1,41819,6.83,86038,441360,0
Financial,380432,0,0,61168,9.09,41144,152767,0
Financial,179307,5,1,18241,6.21,74816,237151,0
Health,349773,5,1,6154,2.5,36062,384457,0
Financial,11444,2,0,68474,4.03,85875,288214,0
Life,248652,2,0,8132,6.01,64177,140448,0
Life,129535,4,0,89506,6.5,28135,163198,0
Vehicle,352836,2,1,49667,8.34,70011,337386,0
Health,145495,1,1,74759,3.7,48968,214568,0
Financial,38508,4,1,84249,8.37,57475,404340,1
Life,200791,4,1,57675,6.11,70838,163533,0
Health,434771,0,0,15455,5.51,98640,151023,1
Vehicle,418651,2,0,32028,6.22,39086,280278,0
Life,140546,2,0,63213,2.42,29171,121665,0
Life,123129,1,0,40593,3.15,77774,375477,0
Life,228678,2,0,24769,2.16,79596,51283,0
Financial,94609,0,1,29889,7.83,92124,253856,0
Financial,422423,4,1,87162,3.33,26062,264388,1
Vehicle,71927,1,0,53890,6.5,64797,145061,1
Financial,432677,4,1,74891,8.77,72475,331670,0
Life,361106,0,1,8830,4.24,78496,410455,0
Vehicle,176526,0,1,61854,4.64,80946,301365,1
Financial,95509,0,1,34120,9.62,33030,108789,0
Health,449038,4,0,92887,1.14,42226,343343,1
Financial,170393,3,1,71280,6.31,22870,59129,0
Life,339787,4,1,74924,8.17,80135,458257,0
Financial,8732,5,1,73312,4.47,46391,325443,1
Vehicle,434585,3,0,81204,0.24,70554,337634,1
Life,436460,1,1,2109,6.33,45816,206861,0
Financial,139483,4,1,12836,0.84,20564,416511,1
Health,25160,1,1,65125,1.9,40801,376366,0
Vehicle,30331,4,0,3053,8.72,86341,279204,1
Financial,142610,3,0,81093,5.0,87891,449093,1
Vehicle,59502,0,0,50030,9.46,60827,463144,1
Vehicle,468638,1,1,48290,3.07,51466,159587,0
Vehicle,128618,1,1,24701,3.16,95263,276370,0
Vehicle,48252,3,0,22161,1.3,34168,469460,0
Vehicle,439811,2,0,14440,0.67,50480,226276,0
Financial,338066,3,1,90731,2.18,82429,430638,1
Life,335694,2,1,95711,8.65,75236,472705,0
Financial,473252,3,1,78772,6.6,34475,234506,1
Vehicle,259676,2,1,16303,5.77,84061,189142,0
Financial,205035,1,1,86100,5.88,38055,55969,0
Financial,121555,1,0,13076,6.54,77573,449761,1
Life,479698,0,1,96426,6.94,91389,309953,0
Health,217036,3,0,73207,8.13,53328,388090,1
Financial,449329,5,1,97771,3.3,32937,56020,0
Health,233503,3,1,13417,9.86,85166,238039,0
Financial,198321,2,0,59292,4.65,92547,61005,0
Vehicle,350375,2,0,43842,5.68,21435,70563,0
Health,146540,3,0,91475,2.67,71707,307800,1
Life,403504,5,0,40109,8.94,36425,68966,0
Vehicle,170750,3,1,1365,3.94,21302,465168,0
Financial,47038,2,1,63815,6.52,57135,75068,0
Health,452436,1,0,45707,7.77,27013,273441,1
Health,347051,2,1,95642,5.62,72587,158358,0
Financial,403552,3,0,13092,4.54,77990,279357,0
Health,484331,2,0,19132,9.85,65476,53511,1
Life,253824,1,1,12647,5.91,87952,289847,0
Vehicle,447894,5,0,25001,9.68,45244,135901,1
Vehicle,89558,2,0,65195,3.16,33494,475900,1
Life,8832,3,1,33760,8.5,71588,169425,0
Life,475431,5,1,54785,0.35,82775,369485,1
Health,379088,0,0,38858,8.41,23696,218689,1
Financial,284541,0,1,11031,0.94,62184,361731,1
Vehicle,135480,4,0,20303,8.1,64452,135800,1
Financial,300955,0,1,59538,4.79,70477,137669,0
Life,95416,1,1,71022,9.93,55378,101437,0
Vehicle,97280,4,1,93393,5.83,29293,141426,1
Life,216080,2,1,26037,0.95,90215,240264,1
Health,433715,2,0,94848,3.45,58862,96731,1
Financial,266233,1,0,83549,2.13,94301,292669,0
Financial,318411,5,0,17376,7.93,72863,53828,0
Health,367327,0,1,98389,1.2,39666,472417,0
Health,158875,3,0,51707,3.28,53167,143405,1
Financial,450598,3,0,78140,3.25,37925,123329,0
Life,168436,0,0,37625,2.02,55242,185195,0
Health,136221,5,1,50517,4.14,88078,359060,0
Financial,315923,5,1,24052,0.94,25408,443996,1
Vehicle,87817,1,1,4678,8.35,79777,84484,0
Financial,456476,3,1,56270,0.03,26846,171127,1
Life,150883,3,0,94119,7.15,29082,205621,0
Vehicle,296722,0,1,23741,1.04,23508,106082,0
Financial,494519,4,0,165,1.97,67513,176639,0
Life,401782,3,0,99701,0.49,39611,220471,1
Health,219773,1,0,13724,7.58,91195,203701,1
Financial,25942,3,1,15526,4.25,26585,455731,1
Vehicle,278455,1,0,27388,5.83,59648,383460,0
Financial,211751,3,0,61598,9.42,81447,212462,0
Vehicle,223084,4,0,65000,8.12,87810,188053,1
Life,112258,0,1,72458,6.67,44612,329974,0
Financial,166722,1,0,4117,4.44,20923,260227,1
Health,226106,0,0,10314,9.62,73551,290726,1
Vehicle,484929,3,1,42551,1.8,59398,292884,0
Vehicle,106383,4,0,43838,6.02,38267,116093,1
Financial,152897,1,1,54416,0.52,97172,99900,0
Financial,55634,2,1,7544,9.52,75270,283853,0
Life,221196,1,1,11072,7.69,87677,418408,0
Financial,28109,5,1,17863,4.11,57154,79265,0
Health,378093,1,1,996,8.38,44681,283667,0
Health,449106,4,1,8613,4.3,65728,296367,0
Financial,444275,1,1,72677,1.14,23515,107026,0
Financial,340720,5,0,12678,3.76,25460,280161,1
Vehicle,50278,1,1,52487,1.96,64186,423436,1
Health,314100,4,0,3848,8.47,65969,166485,1
Health,440275,1,0,72823,3.82,73399,70602,1
Health,260027,2,1,39639,2.6,25944,449920,0
Life,127846,4,0,45246,6.65,98505,288941,0
Vehicle,7673,1,1,95060,8.55,66345,356891,1
Life,287652,0,0,53843,4.91,34595,205327,0
Life,181030,3,1,82721,5.77,94739,458930,0
Health,327946,5,0,83782,0.81,53570,88061,1
Life,102739,1,0,28985,1.88,22920,481134,0
Financial,428458,2,1,25516,2.89,58057,239724,0
Life,382339,3,1,15656,6.83,60580,85613,0
Health,275781,4,0,69040,7.21,79888,198233,1
Health,58830,5,1,88279,0.69,70087,442058,0
Life,487848,0,1,25763,4.76,58847,421544,0
Vehicle,65417,2,0,64209,4.84,65466,486533,1
Life,116628,2,1,24355,0.16,58430,386216,1
Vehicle,157018,5,1,27499,6.45,35007,324601,1
Financial,25570,4,0,54403,9.45,83844,158562,0
Financial,54860,2,1,1191,1.22,34798,204107,1
Health,464467,5,0,28033,0.56,33474,450652,1
Vehicle,250736,3,1,25184,2.76,23190,445389,0
Health,13889,2,1,7422,1.37,92867,397512,0
Vehicle,455005,2,0,16846,4.71,96132,360533,0
Health,7524,4,0,65993,9.59,77346,214581,0
Financial,248546,2,1,69984,1.92,90905,480328,1
Health,314023,4,1,2365,8.09,71371,285341,0
Vehicle,397245,0,0,62989,0.13,59657,225912,1
Vehicle,56361,3,1,21351,6.11,68542,274847,0
Life,471565,0,0,19388,1.08,40785,436845,0
Financial,88717,2,0,79318,3.03,48898,102961,0
Health,185634,3,1,93500,3.92,95806,225731,0
Vehicle,246478,3,1,64947,4.71,93878,246836,1
Vehicle,82529,4,1,3585,3.42,47031,334535,1
Vehicle,362041,2,1,47850,3.03,64112,218418,0
Life,218575,1,1,74330,9.82,61201,269646,0
Life,77695,1,0,18399,1.45,46765,183504,0
Life,220567,0,1,72106,9.18,74407,322526,0
Health,433424,3,0,378,2.82,81477,405354,1
Life,211733,3,0,6370,4.21,49205,492691,0
Financial,355929,5,1,62615,9.62,88152,53925,0
Health,457937,2,1,71106,5.33,87020,210107,0
Life,424778,0,0,89650,0.83,23600,365424,1
Vehicle,290682,5,0,36076,5.33,96721,452509,1
Financial,19511,5,0,27058,4.51,77445,262652,0
Life,257860,5,1,76755,7.67,37609,280444,0
Vehicle,20630,3,0,16681,3.02,43633,162611,0
Health,307997,5,1,83123,4.24,84408,406631,0
Financial,488187,2,1,90033,9.51,51313,456511,1
Life,330082,3,1,79519,9.7,47692,86085,0
Vehicle,12232,1,1,33165,8.72,75399,336338,0
Financial,117699,0,1,19481,3.15,27422,256223,1
Life,178043,4,0,11860,1.1,44903,111119,0
Financial,371085,4,0,7990,6.89,48230,57356,0
Life,80360,0,1,60971,4.19,35380,79890,0
Health,162989,3,1,33171,8.65,46797,71083,0
Vehicle,258926,1,1,61494,6.54,83141,303107,1
Vehicle,305006,1,1,69722,5.7,28276,497831,1
Vehicle,387602,1,1,25146,6.42,46505,475594,0
Life,410964,3,0,95578,6.24,76460,331496,0
Vehicle,56179,4,1,38089,8.09,50920,402976,1
Life,85237,1,0,48110,5.45,83067,276619,0
Financial,232037,5,0,97949,1.95,45139,176469,0
Health,189205,3,0,47152,1.59,37922,317683,1
Life,436509,1,0,45378,6.25,78803,232991,0
Vehicle,276935,2,1,64879,2.01,25774,400988,1
Vehicle,390917,1,0,30622,4.13,37572,198007,0
Financial,147902,0,1,67257,9.67,28105,162659,1
Life,426366,2,0,9229,4.24,36676,330354,0
Health,146685,3,0,23405,9.3,28530,98582,1
Health,218607,5,1,86619,6.09,40463,84497,0
Life,245259,3,1,50162,1.9,51531,362739,0
Health,233267,4,1,26029,2.26,55450,394521,0
Health,482147,1,1,14162,1.28,44245,459158,0
Financial,238831,1,0,1956,1.16,85006,377551,0
Health,391344,1,1,98625,5.4,76623,117283,0
Vehicle,151199,3,0,38984,0.18,85913,141881,0
Life,441377,4,0,38341,9.55,21282,135997,0
Life,49624,5,1,9707,2.99,51085,155092,0
Life,466334,0,1,47234,2.71,70525,201575,0
Health,385219,0,1,78986,3.8,84877,272881,0
Financial,63484,5,0,98101,5.83,39746,76907,0
Life,299658,5,0,62440,4.71,77168,333825,0
Health,306947,2,1,84569,9.26,65088,169265,0
Health,11094,5,0,19302,7.04,82223,195816,0
Financial,158760,2,0,60758,8.9,84316,68689,0
Vehicle,328586,3,1,84622,3.97,34702,147290,1
Life,250391,4,1,35095,3.59,67457,477988,0
Life,405001,1,1,82546,7.04,51268,393787,0
Life,470871,5,1,66434,4.39,71318,217773,0
Vehicle,491750,3,1,35253,0.28,71278,170250,0
Vehicle,45112,2,1,89852,7.62,99112,284945,1
Financial,192403,4,0,83244,2.34,99996,421513,0
Financial,180903,0,0,46227,4.93,35844,302821,1
Vehicle,417866,2,0,85699,5.62,31071,317160,1
Vehicle,187353,0,1,22904,1.25,37673,204834,0
Health,240609,4,0,63976,4.13,59864,281642,1
Life,13414,1,1,60140,6.01,55588,129960,0
Health,45980,0,0,4144,7.78,73906,479324,0
Life,322725,2,1,82212,1.1,49143,90187,0
Vehicle,73463,4,0,27465,6.5,87482,428373,1
Vehicle,235720,2,0,2535,6.92,56382,144944,0
Life,182270,0,0,19738,8.7,26930,117168,0
Financial,293079,4,0,69217,6.45,70160,202640,0
Life,437271,1,0,21072,5.3,47940,59833,0
Financial,51526,0,1,60205,0.9,77589,145535,0
Vehicle,40849,4,0,38440,5.19,23378,211764,1
Life,208055,1,0,97650,2.89,79631,266424,0
Health,73673,4,0,4729,5.45,89087,359194,0
Life,192850,2,0,43482,3.77,37439,228808,0
Life,386714,1,0,31786,7.65,94388,438587,0
Vehicle,164398,0,1,84412,2.94,44308,125017,1
Vehicle,291634,4,0,38652,7.1,46411,120881,1
Financial,217818,1,0,16969,7.4,73221,490546,1
Life,384593,4,1,28943,6.19,77575,364640,0
Vehicle,456274,0,0,87050,0.62,98211,145716,1
Financial,462842,2,1,63428,9.02,31038,415004,1
Health,277194,0,0,47177,0.38,26039,310659,1
Life,289787,4,1,49961,4.49,52341,287251,0
Vehicle,304434,2,0,63946,5.91,92830,486062,1
Vehicle,99950,2,1,92621,4.98,80384,337227,1
Financial,271038,3,1,64558,5.68,39120,178126,0
Health,334959,2,0,5296,0.51,88898,103844,1
Financial,399328,4,0,37359,1.24,42798,182475,0
Health,42026,2,0,67563,4.37,66483,196988,0
Financial,33495,5,0,54769,5.85,57398,77436,0
Health,87751,4,0,6943,2.62,98398,370436,0
Life,257827,3,0,1862,8.04,47266,365813,0
Vehicle,28119,0,0,9170,7.52,40113,323585,0
Life,468163,5,0,88235,1.84,82436,188508,0
Health,391698,4,0,5654,2.76,76041,402939,1
Financial,87161,1,1,80247,2.97,85650,369817,0
Financial,275570,3,1,64600,9.64,78343,440822,1
Health,300362,3,1,79929,0.82,82542,167754,0
Life,320335,1,1,2458,1.43,70078,73822,0
Life,380988,2,1,92815,7.76,54934,380678,0
Life,211988,0,1,66750,8.82,36841,244804,0
Health,110315,2,1,53559,3.5,60187,420912,0
Life,72076,5,0,59689,3.75,85303,382579,0
Life,93798,2,1,60500,2.45,87159,406605,0
Health,423479,0,0,33251,9.0,82393,374509,1
Financial,479654,3,0,95961,7.33,38211,105423,0
Vehicle,202792,4,0,7070,7.21,81051,309908,1
Financial,473164,1,1,38679,5.6,28684,452919,1
Vehicle,296741,4,0,80243,8.21,89650,396951,1
Life,202603,2,0,43404,5.29,73150,272809,0
Life,218184,1,1,8891,0.79,99401,460024,1
Life,127763,4,0,10360,0.89,59325,368101,1
Life,305895,0,1,76639,4.65,87667,382200,0
Life,222148,2,1,11273,3.66,83638,466247,0
Vehicle,385010,3,0,69042,3.21,24843,343380,1
Financial,460888,1,0,9944,7.53,54790,89151,0
Vehicle,417072,3,1,53846,6.7,76818,255204,1
Health,210002,0,1,12152,5.8,26665,466171,0
Health,329311,5,0,59285,7.26,22800,87313,1
Financial,113018,3,0,33011,3.08,59564,234824,0
Vehicle,341256,5,1,6365,7.57,57249,217826,1
Vehicle,331121,2,0,78534,5.38,85324,225332,1
Financial,79795,1,1,80408,0.39,26385,180124,1
Vehicle,259979,4,1,42192,0.27,41332,482690,1
Life,177830,0,0,86578,5.89,27650,290633,0
Life,487301,5,1,50110,8.65,37727,395699,0
Life,136509,4,1,31308,0.12,33918,155364,1
Health,277188,4,1,79742,6.37,93521,201598,0
Financial,259697,4,1,37142,2.85,73555,351511,0
Financial,165991,5,0,23581,0.75,90861,344805,0
Financial,457359,1,0,65641,5.88,78782,138714,0
Vehicle,223375,5,1,58768,3.97,43422,368737,1
Health,149736,2,0,91852,6.16,81780,258937,1
Life,118475,5,0,91574,4.55,42949,176449,0
Vehicle,495663,4,0,82437,0.08,66752,109088,1
Vehicle,328156,0,1,45404,4.15,66155,79489,0
Vehicle,361555,0,1,9007,4.55,35225,356237,0
Vehicle,197779,3,0,19985,8.48,35646,327828,0
Vehicle,310330,1,0,24280,7.9,25055,245591,0
Vehicle,357504,2,0,5602,5.76,39103,244917,0
Life,253082,1,1,87846,0.94,74480,256754,1
Financial,146816,0,0,78996,7.79,71213,328334,0
Life,271998,5,0,50002,5.11,60307,428405,0
Vehicle,428355,1,0,85595,6.03,91570,149033,1
Financial,233086,0,1,72404,8.32,57433,174116,0
Vehicle,111148,3,0,32611,9.17,82839,123553,0
Life,415141,4,0,80072,3.49,25615,141300,0
Life,387251,0,1,50301,4.1,76265,344521,0
Vehicle,254081,1,1,53140,9.11,27102,82635,1
Vehicle,450843,0,1,82923,0.75,62258,427183,1
Vehicle,240280,0,0,58262,2.95,87253,345762,1
Health,87470,2,0,77878,5.19,38831,418671,0
Life,139358,1,1,56869,3.9,64000,406118,0
Financial,271337,3,0,50527,8.23,59804,66672,0
Vehicle,237305,4,1,73970,9.79,81535,410499,1
Vehicle,376349,0,1,75375,1.82,69952,131391,1
Health,212975,1,1,18363,3.51,94068,66087,0
Vehicle,318505,1,1,82849,2.89,33840,321348,1
Life,423231,3,1,34197,3.36,73097,65750,0
Health,38391,4,1,20274,5.78,46494,463803,0
Vehicle,181449,4,1,2671,6.75,53239,272047,1
Health,427252,0,1,4677,1.65,82517,158987,0
Life,258505,0,1,96322,2.3,38585,269224,0
Financial,19868,0,0,82890,2.18,64514,411151,1
Vehicle,18722,3,0,43788,6.59,45191,220437,0
Life,406041,0,0,5827,4.46,20197,108340,0
Life,202440,0,1,31849,8.3,70864,302151,0
Financial,197352,1,0,40899,9.39,35920,413063,1
Vehicle,238972,0,0,70145,9.65,62964,305972,1
Life,145643,1,0,44042,5.11,91183,386610,0
Vehicle,278875,1,0,73191,0.93,33088,204008,1
